object,image,state,adj,words_w2v
scissors,scissors_closed.jpg,b,closed,scissors
potato,potato_dirty.jpg,a,dirty,potato
sleepingbag,sleepingbag_rolled.jpg,a,rolled,sleeping bag
pencil,pencil_broken.jpg,a,broken,pencil
onion,onion_peeled.jpg,a,peeled,onion
stovetop,stovetop_clean.jpg,b,clean,stovetop
lime,lime_sliced.jpg,a,sliced,lime
seatbelt,seatbelt_closed.jpg,b,closed,seatbelt
fridge,fridge_closed.jpg,b,closed,fridge
onion,onion_unpeeled.jpg,b,unpeeled,onion
dishwasher,dishwasher_open.jpg,a,open,dishwasher
wallet,wallet_open.jpg,a,open,wallet
naan,naan_whole.jpg,b,whole,naan
sugarpacket,sugarpacket_ripped.jpg,a,ripped,sugar packet
hands,hands_clean.jpg,b,clean,hands
jar,jar_empty.jpg,a,empty,jar
mirror,mirror_whole.jpg,b,whole,mirror
shoppingcart,shoppingcart_full.jpg,b,full,shopping cart
soccerball,soccerball_dirty.jpg,a,dirty,soccerball
juicebottle,juicebottle_open.jpg,a,open,juice bottle
pig,pig_clean.jpg,b,clean,pig
sugarpacket,sugarpacket_whole.jpg,b,whole,sugar packet
chestofdrawers,chestofdrawers_closed.jpg,b,closed,chest of drawers
sweater,sweater_folded.jpg,a,folded,sweater
chapstick,chapstick_open.jpg,a,open,chapstick
orange,orange_unpeeled.jpg,b,unpeeled,orange
dish,dish_dirty.jpg,a,dirty,dish
sleepingbag,sleepingbag_unrolled.jpg,b,unrolled,sleeping bag
orange,orange_peeled.jpg,a,peeled,orange
couch,couch_dirty.jpg,a,dirty,couch
pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
staircase,staircase_curved.jpg,a,curved,staircase
chocolatebar,chocolatebar_whole.jpg,b,whole,chocolate bar
hamper,hamper_full.jpg,b,full,hamper
book,book_open.jpg,a,open,book
spoon,spoon_clean.jpg,b,clean,spoon
bill,bill_unrolled.jpg,b,unrolled,bill
suitcase,suitcase_open.jpg,a,open,suitcase
microwave,microwave_open.jpg,a,open,microwave
ladder,ladder_folded.jpg,a,folded,ladder
garlic,garlic_peeled.jpg,a,peeled,garlic
book,book_closed.jpg,b,closed,book
apple,apple_unsliced.jpg,b,unsliced,apple
marker,marker_open.jpg,a,open,marker
garbagecan,garbagecan_empty.jpg,a,empty,garbage can
napkin,napkin_folded.jpg,a,folded,napkin
potato,potato_clean.jpg,b,clean,potato
lock,lock_closed.jpg,b,closed,lock
blanket,blanket_unfolded.jpg,b,unfolded,blanket
stapler,stapler_closed.jpg,b,closed,stapler
vase,vase_broken.jpg,a,broken,vase
laptop,laptop_open.jpg,a,open,laptop
spoon,spoon_dirty.jpg,a,dirty,spoon
shoe,shoe_clean.jpg,b,clean,shoe
table,table_broken.jpg,a,broken,table
cookie,cookie_broken.jpg,a,broken,cookie
road,road_straight.jpg,b,straight,road
sweater,sweater_unfolded.jpg,b,unfolded,sweater
chestofdrawers,chestofdrawers_open.jpg,a,open,chest of drawers
watermelon,watermelon_sliced.jpg,a,sliced,watermelon
car,car_clean.jpg,b,clean,car
egg,egg_broken.jpg,a,broken,egg
bucket,bucket_clean.jpg,b,clean,bucket
banana,banana_peeled.jpg,a,peeled,banana
gloves,gloves_dirty.jpg,a,dirty,gloves
salami,salami_unsliced.jpg,b,unsliced,salami
hamper,hamper_empty.jpg,a,empty,hamper
egg,egg_whole.jpg,b,whole,egg
fence,fence_whole.jpg,b,whole,fence
magnet,magnet_bent.jpg,a,bent,magnet
paper,paper_unfolded.jpg,b,unfolded,paper
cracker,cracker_whole.jpg,b,whole,cracker
towel,towel_folded.jpg,a,folded,towel
dish,dish_clean.jpg,b,clean,dish
shoppingcart,shoppingcart_empty.jpg,a,empty,shopping cart
napkin,napkin_unfolded.jpg,b,unfolded,napkin
carrot,carrot_unpeeled.jpg,b,unpeeled,carrot
door,door_closed.jpg,b,closed,door
backpack,backpack_closed.jpg,b,closed,backpack
magnet,magnet_straight.jpg,b,straight,magnet
envelope,envelope_whole.jpg,b,whole,envelope
treasurechest,treasurechest_closed.jpg,b,closed,treasure chest
pineapple,pineapple_sliced.jpg,a,sliced,pineapple
nail,nail_bent.jpg,a,bent,nail
table,table_whole.jpg,b,whole,table
milkcarton,milkcarton_closed.jpg,b,closed,milk carton
fence,fence_broken.jpg,a,broken,fence
jar,jar_full.jpg,b,full,jar
couch,couch_clean.jpg,b,clean,couch
seatbelt,seatbelt_open.jpg,a,open,seatbelt
chipbag,chipbag_whole.jpg,b,whole,chip bag
cabinet,cabinet_closed.jpg,b,closed,cabinet
piggybank,piggybank_broken.jpg,a,broken,piggybank
microwave,microwave_closed.jpg,b,closed,microwave
laptop,laptop_closed.jpg,b,closed,laptop
staircase,staircase_straight.jpg,b,straight,staircase
hands,hands_dirty.jpg,a,dirty,hands
boot,boot_clean.jpg,b,clean,boot
eggcarton,eggcarton_empty.jpg,a,empty,egg carton
chain,chain_whole.jpg,b,whole,chain
safetypin,safetypin_straight.jpg,b,straight,safety pin
plate,plate_broken.jpg,a,broken,plate
bucket,bucket_dirty.jpg,a,dirty,bucket
yogamat,yogamat_unrolled.jpg,b,unrolled,yoga mat
apple,apple_sliced.jpg,a,sliced,apple
towel,towel_unfolded.jpg,b,unfolded,towel
garbagecan,garbagecan_full.jpg,b,full,garbage can
safetypin,safetypin_bent.jpg,a,bent,safety pin
dishwasher,dishwasher_closed.jpg,b,closed,dishwasher
paperclip,paperclip_bent.jpg,a,bent,paperclip
straw,straw_straight.jpg,b,straight,straw
kiwi,kiwi_sliced.jpg,a,sliced,kiwi
chocolatebar,chocolatebar_broken.jpg,a,broken,chocolate bar
can,can_open.jpg,a,open,can
filefolder,filefolder_closed.jpg,b,closed,file folder
lime,lime_unsliced.jpg,b,unsliced,lime
