object,image,state,adj,words_w2v
road,road_straight.jpg,b,straight,road
paper,paper_unfolded.jpg,b,unfolded,paper
door,door_open.jpg,a,open,door
hands,hands_clean.jpg,b,clean,hands
plate,plate_broken.jpg,a,broken,plate
soccerball,soccerball_clean.jpg,b,clean,soccerball
jar,jar_full.jpg,b,full,jar
gate,gate_closed.jpg,b,closed,gate
onion,onion_unpeeled.jpg,b,unpeeled,onion
book,book_open.jpg,a,open,book
garbagecan,garbagecan_full.jpg,b,full,garbage can
lock,lock_open.jpg,a,open,lock
carrot,carrot_unpeeled.jpg,b,unpeeled,carrot
bill,bill_unrolled.jpg,b,unrolled,bill
tire,tire_broken.jpg,a,broken,tire
shoppingcart,shoppingcart_empty.jpg,a,empty,shopping cart
vase,vase_broken.jpg,a,broken,vase
blanket,blanket_folded.jpg,a,folded,blanket
soccerball,soccerball_dirty.jpg,a,dirty,soccerball
scissors,scissors_closed.jpg,b,closed,scissors
garlic,garlic_peeled.jpg,a,peeled,garlic
backpack,backpack_closed.jpg,b,closed,backpack
hands,hands_dirty.jpg,a,dirty,hands
naan,naan_ripped.jpg,a,ripped,naan
chipbag,chipbag_ripped.jpg,a,ripped,chip bag
garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
safetypin,safetypin_bent.jpg,a,bent,safety pin
fridge,fridge_open.jpg,a,open,fridge
yogamat,yogamat_unrolled.jpg,b,unrolled,yoga mat
napkin,napkin_unfolded.jpg,b,unfolded,napkin
yogamat,yogamat_rolled.jpg,a,rolled,yoga mat
mirror,mirror_broken.jpg,a,broken,mirror
eggcarton,eggcarton_empty.jpg,a,empty,egg carton
magnet,magnet_bent.jpg,a,bent,magnet
gloves,gloves_dirty.jpg,a,dirty,gloves
couch,couch_clean.jpg,b,clean,couch
pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
bucket,bucket_dirty.jpg,a,dirty,bucket
rug,rug_unrolled.jpg,b,unrolled,rug
fridge,fridge_closed.jpg,b,closed,fridge
eye,eye_open.jpg,a,open,eye
bread,bread_unsliced.jpg,b,unsliced,bread
laptop,laptop_closed.jpg,b,closed,laptop
chocolatebar,chocolatebar_whole.jpg,b,whole,chocolate bar
marker,marker_open.jpg,a,open,marker
hamper,hamper_empty.jpg,a,empty,hamper
safetypin,safetypin_straight.jpg,b,straight,safety pin
lime,lime_sliced.jpg,a,sliced,lime
glasses,glasses_broken.jpg,a,broken,glasses
can,can_closed.jpg,b,closed,can
shoppingcart,shoppingcart_full.jpg,b,full,shopping cart
naan,naan_whole.jpg,b,whole,naan
filefolder,filefolder_open.jpg,a,open,file folder
car,car_dirty.jpg,a,dirty,car
blanket,blanket_unfolded.jpg,b,unfolded,blanket
watermelon,watermelon_sliced.jpg,a,sliced,watermelon
wallet,wallet_open.jpg,a,open,wallet
milkcarton,milkcarton_open.jpg,a,open,milk carton
boot,boot_clean.jpg,b,clean,boot
lime,lime_unsliced.jpg,b,unsliced,lime
waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
ladder,ladder_unfolded.jpg,b,unfolded,ladder
sugarpacket,sugarpacket_whole.jpg,b,whole,sugar packet
kiwi,kiwi_unsliced.jpg,b,unsliced,kiwi
can,can_open.jpg,a,open,can
lawnchair,lawnchair_unfolded.jpg,b,unfolded,lawnchair
egg,egg_broken.jpg,a,broken,egg
pencil,pencil_broken.jpg,a,broken,pencil
cracker,cracker_whole.jpg,b,whole,cracker
fence,fence_whole.jpg,b,whole,fence
straw,straw_bent.jpg,a,bent,straw
scissors,scissors_open.jpg,a,open,scissors
potato,potato_clean.jpg,b,clean,potato
chestofdrawers,chestofdrawers_closed.jpg,b,closed,chest of drawers
waterpipe,waterpipe_straight.jpg,b,straight,waterpipe
gate,gate_open.jpg,a,open,gate
piggybank,piggybank_whole.jpg,b,whole,piggybank
pickle,pickle_sliced.jpg,a,sliced,pickle
straw,straw_straight.jpg,b,straight,straw
suitcase,suitcase_closed.jpg,b,closed,suitcase
cdplayer,cdplayer_closed.jpg,b,closed,cd player
couch,couch_dirty.jpg,a,dirty,couch
egg,egg_whole.jpg,b,whole,egg
sweater,sweater_folded.jpg,a,folded,sweater
cookie,cookie_whole.jpg,b,whole,cookie
laptop,laptop_open.jpg,a,open,laptop
towel,towel_folded.jpg,a,folded,towel
tire,tire_whole.jpg,b,whole,tire
apple,apple_unsliced.jpg,b,unsliced,apple
garbagecan,garbagecan_empty.jpg,a,empty,garbage can
nail,nail_straight.jpg,b,straight,nail
chipbag,chipbag_whole.jpg,b,whole,chip bag
nail,nail_bent.jpg,a,bent,nail
pot,pot_open.jpg,a,open,pot
