object,image,state,adj,words_w2v
chipbag,chipbag_ripped.jpg,a,ripped,chip bag
vase,vase_broken.jpg,a,broken,vase
envelope,envelope_ripped.jpg,a,ripped,envelope
garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
cracker,cracker_whole.jpg,b,whole,cracker
shoelace,shoelace_untied.jpg,b,untied,shoelace
dish,dish_dirty.jpg,a,dirty,dish
pencil,pencil_whole.jpg,b,whole,pencil
blanket,blanket_folded.jpg,a,folded,blanket
filefolder,filefolder_closed.jpg,b,closed,file folder
potato,potato_clean.jpg,b,clean,potato
cigarette,cigarette_broken.jpg,a,broken,cigarette
garlic,garlic_peeled.jpg,a,peeled,garlic
paperclip,paperclip_straight.jpg,b,straight,paperclip
marker,marker_open.jpg,a,open,marker
seatbelt,seatbelt_closed.jpg,b,closed,seatbelt
dishwasher,dishwasher_closed.jpg,b,closed,dishwasher
carrot,carrot_unpeeled.jpg,b,unpeeled,carrot
sweater,sweater_folded.jpg,a,folded,sweater
egg,egg_broken.jpg,a,broken,egg
hamper,hamper_empty.jpg,a,empty,hamper
carrot,carrot_peeled.jpg,a,peeled,carrot
lock,lock_closed.jpg,b,closed,lock
tire,tire_broken.jpg,a,broken,tire
waterpipe,waterpipe_bent.jpg,a,bent,waterpipe
gate,gate_open.jpg,a,open,gate
table,table_broken.jpg,a,broken,table
nail,nail_straight.jpg,b,straight,nail
milkcarton,milkcarton_open.jpg,a,open,milk carton
staircase,staircase_straight.jpg,b,straight,staircase
filefolder,filefolder_open.jpg,a,open,file folder
marker,marker_closed.jpg,b,closed,marker
glasses,glasses_broken.jpg,a,broken,glasses
pig,pig_dirty.jpg,a,dirty,pig
napkin,napkin_folded.jpg,a,folded,napkin
door,door_closed.jpg,b,closed,door
eggcarton,eggcarton_full.jpg,b,full,egg carton
cabinet,cabinet_open.jpg,a,open,cabinet
pizza,pizza_unsliced.jpg,b,unsliced,pizza
envelope,envelope_whole.jpg,b,whole,envelope
can,can_closed.jpg,b,closed,can
waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
couch,couch_clean.jpg,b,clean,couch
waterpipe,waterpipe_straight.jpg,b,straight,waterpipe
towel,towel_folded.jpg,a,folded,towel
road,road_curved.jpg,a,curved,road
pineapple,pineapple_sliced.jpg,a,sliced,pineapple
hands,hands_clean.jpg,b,clean,hands
bucket,bucket_dirty.jpg,a,dirty,bucket
mirror,mirror_broken.jpg,a,broken,mirror
napkin,napkin_unfolded.jpg,b,unfolded,napkin
salami,salami_sliced.jpg,a,sliced,salami
safetypin,safetypin_straight.jpg,b,straight,safety pin
cookie,cookie_whole.jpg,b,whole,cookie
car,car_clean.jpg,b,clean,car
mirror,mirror_whole.jpg,b,whole,mirror
seatbelt,seatbelt_open.jpg,a,open,seatbelt
salami,salami_unsliced.jpg,b,unsliced,salami
paper,paper_unfolded.jpg,b,unfolded,paper
naan,naan_ripped.jpg,a,ripped,naan
magnet,magnet_straight.jpg,b,straight,magnet
pizza,pizza_sliced.jpg,a,sliced,pizza
yogamat,yogamat_unrolled.jpg,b,unrolled,yoga mat
microwave,microwave_open.jpg,a,open,microwave
book,book_open.jpg,a,open,book
chocolatebar,chocolatebar_whole.jpg,b,whole,chocolate bar
book,book_closed.jpg,b,closed,book
cabinet,cabinet_closed.jpg,b,closed,cabinet
banana,banana_unpeeled.jpg,b,unpeeled,banana
chapstick,chapstick_closed.jpg,b,closed,chapstick
orange,orange_peeled.jpg,a,peeled,orange
shoppingcart,shoppingcart_empty.jpg,a,empty,shopping cart
pickle,pickle_unsliced.jpg,b,unsliced,pickle
yogamat,yogamat_rolled.jpg,a,rolled,yoga mat
chipbag,chipbag_whole.jpg,b,whole,chip bag
bread,bread_unsliced.jpg,b,unsliced,bread
notepad,notepad_whole.jpg,b,whole,notepad
hamper,hamper_full.jpg,b,full,hamper
banana,banana_peeled.jpg,a,peeled,banana
chestofdrawers,chestofdrawers_closed.jpg,b,closed,chest of drawers
kiwi,kiwi_unsliced.jpg,b,unsliced,kiwi
wineglass,wineglass_full.jpg,b,full,wineglass
laptop,laptop_closed.jpg,b,closed,laptop
gloves,gloves_clean.jpg,b,clean,gloves
table,table_whole.jpg,b,whole,table
jar,jar_empty.jpg,a,empty,jar
chain,chain_whole.jpg,b,whole,chain
fence,fence_whole.jpg,b,whole,fence
piggybank,piggybank_whole.jpg,b,whole,piggybank
watermelon,watermelon_sliced.jpg,a,sliced,watermelon
suitcase,suitcase_closed.jpg,b,closed,suitcase
hands,hands_dirty.jpg,a,dirty,hands
door,door_open.jpg,a,open,door
dish,dish_clean.jpg,b,clean,dish
scissors,scissors_open.jpg,a,open,scissors
boot,boot_dirty.jpg,a,dirty,boot
shoppingcart,shoppingcart_full.jpg,b,full,shopping cart
safetypin,safetypin_bent.jpg,a,bent,safety pin
chain,chain_broken.jpg,a,broken,chain
potato,potato_dirty.jpg,a,dirty,potato
treasurechest,treasurechest_open.jpg,a,open,treasure chest
magnet,magnet_bent.jpg,a,bent,magnet
can,can_open.jpg,a,open,can
ladder,ladder_unfolded.jpg,b,unfolded,ladder
microwave,microwave_closed.jpg,b,closed,microwave
apple,apple_unsliced.jpg,b,unsliced,apple
sweater,sweater_unfolded.jpg,b,unfolded,sweater
cracker,cracker_broken.jpg,a,broken,cracker
car,car_dirty.jpg,a,dirty,car
sugarpacket,sugarpacket_ripped.jpg,a,ripped,sugar packet
bill,bill_unrolled.jpg,b,unrolled,bill
waterbottle,waterbottle_open.jpg,a,open,waterbottle
gate,gate_closed.jpg,b,closed,gate
stovetop,stovetop_clean.jpg,b,clean,stovetop
cigarette,cigarette_whole.jpg,b,whole,cigarette
couch,couch_dirty.jpg,a,dirty,couch
plate,plate_broken.jpg,a,broken,plate
backpack,backpack_open.jpg,a,open,backpack
bread,bread_sliced.jpg,a,sliced,bread
shoe,shoe_clean.jpg,b,clean,shoe
eye,eye_closed.jpg,b,closed,eye
juicebottle,juicebottle_open.jpg,a,open,juice bottle
shoe,shoe_dirty.jpg,a,dirty,shoe
pot,pot_closed.jpg,b,closed,pot
lock,lock_open.jpg,a,open,lock
laptop,laptop_open.jpg,a,open,laptop
eggcarton,eggcarton_empty.jpg,a,empty,egg carton
notepad,notepad_ripped.jpg,a,ripped,notepad
naan,naan_whole.jpg,b,whole,naan
pot,pot_open.jpg,a,open,pot
road,road_straight.jpg,b,straight,road
lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
egg,egg_whole.jpg,b,whole,egg
wallet,wallet_closed.jpg,b,closed,wallet
soccerball,soccerball_dirty.jpg,a,dirty,soccerball
garbagecan,garbagecan_empty.jpg,a,empty,garbage can
pencil,pencil_broken.jpg,a,broken,pencil
sleepingbag,sleepingbag_unrolled.jpg,b,unrolled,sleeping bag
pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
glasses,glasses_whole.jpg,b,whole,glasses
lime,lime_unsliced.jpg,b,unsliced,lime
cookie,cookie_broken.jpg,a,broken,cookie
straw,straw_bent.jpg,a,bent,straw
ladder,ladder_folded.jpg,a,folded,ladder
eye,eye_open.jpg,a,open,eye
