object,image,state,adj,words_w2v
fridge,fridge_open.jpg,a,open,fridge
gloves,gloves_dirty.jpg,a,dirty,gloves
lawnchair,lawnchair_unfolded.jpg,b,unfolded,lawnchair
stapler,stapler_open.jpg,a,open,stapler
pickle,pickle_sliced.jpg,a,sliced,pickle
stovetop,stovetop_dirty.jpg,a,dirty,stovetop
suitcase,suitcase_open.jpg,a,open,suitcase
watermelon,watermelon_unsliced.jpg,b,unsliced,watermelon
stapler,stapler_closed.jpg,b,closed,stapler
onion,onion_unpeeled.jpg,b,unpeeled,onion
juicebottle,juicebottle_closed.jpg,b,closed,juice bottle
nail,nail_bent.jpg,a,bent,nail
spoon,spoon_dirty.jpg,a,dirty,spoon
bill,bill_rolled.jpg,a,rolled,bill
garbagecan,garbagecan_full.jpg,b,full,garbage can
towel,towel_unfolded.jpg,b,unfolded,towel
sugarpacket,sugarpacket_whole.jpg,b,whole,sugar packet
tire,tire_whole.jpg,b,whole,tire
sleepingbag,sleepingbag_rolled.jpg,a,rolled,sleeping bag
lime,lime_sliced.jpg,a,sliced,lime
straw,straw_straight.jpg,b,straight,straw
dishwasher,dishwasher_open.jpg,a,open,dishwasher
cdplayer,cdplayer_open.jpg,a,open,cd player
wallet,wallet_open.jpg,a,open,wallet
blanket,blanket_unfolded.jpg,b,unfolded,blanket
jar,jar_full.jpg,b,full,jar
kiwi,kiwi_sliced.jpg,a,sliced,kiwi
chestofdrawers,chestofdrawers_open.jpg,a,open,chest of drawers
plate,plate_whole.jpg,b,whole,plate
vase,vase_whole.jpg,b,whole,vase
paperclip,paperclip_bent.jpg,a,bent,paperclip
chocolatebar,chocolatebar_broken.jpg,a,broken,chocolate bar
soccerball,soccerball_clean.jpg,b,clean,soccerball
chapstick,chapstick_open.jpg,a,open,chapstick
boot,boot_clean.jpg,b,clean,boot
wineglass,wineglass_empty.jpg,a,empty,wineglass
pig,pig_clean.jpg,b,clean,pig
scissors,scissors_closed.jpg,b,closed,scissors
treasurechest,treasurechest_closed.jpg,b,closed,treasure chest
onion,onion_peeled.jpg,a,peeled,onion
cup,cup_clean.jpg,b,clean,cup
piggybank,piggybank_broken.jpg,a,broken,piggybank
fence,fence_broken.jpg,a,broken,fence
spoon,spoon_clean.jpg,b,clean,spoon
rug,rug_rolled.jpg,a,rolled,rug
cup,cup_dirty.jpg,a,dirty,cup
apple,apple_sliced.jpg,a,sliced,apple
staircase,staircase_curved.jpg,a,curved,staircase
bucket,bucket_clean.jpg,b,clean,bucket
cdplayer,cdplayer_closed.jpg,b,closed,cd player
backpack,backpack_closed.jpg,b,closed,backpack
milkcarton,milkcarton_closed.jpg,b,closed,milk carton
rug,rug_unrolled.jpg,b,unrolled,rug
fridge,fridge_closed.jpg,b,closed,fridge
paper,paper_folded.jpg,a,folded,paper
shoelace,shoelace_tied.jpg,a,tied,shoelace
orange,orange_unpeeled.jpg,b,unpeeled,orange
eye,eye_open.jpg,a,open,eye
ladder,ladder_folded.jpg,a,folded,ladder
straw,straw_bent.jpg,a,bent,straw
cookie,cookie_broken.jpg,a,broken,cookie
lime,lime_unsliced.jpg,b,unsliced,lime
glasses,glasses_whole.jpg,b,whole,glasses
pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
sleepingbag,sleepingbag_unrolled.jpg,b,unrolled,sleeping bag
pencil,pencil_broken.jpg,a,broken,pencil
garbagecan,garbagecan_empty.jpg,a,empty,garbage can
soccerball,soccerball_dirty.jpg,a,dirty,soccerball
wallet,wallet_closed.jpg,b,closed,wallet
egg,egg_whole.jpg,b,whole,egg
lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
road,road_straight.jpg,b,straight,road
pot,pot_open.jpg,a,open,pot
naan,naan_whole.jpg,b,whole,naan
notepad,notepad_ripped.jpg,a,ripped,notepad
