object,image,state,adj,words_w2v
staircase,staircase_curved.jpg,a,curved,staircase
lime,lime_sliced.jpg,a,sliced,lime
seatbelt,seatbelt_open.jpg,a,open,seatbelt
straw,straw_straight.jpg,b,straight,straw
laptop,laptop_closed.jpg,b,closed,laptop
potato,potato_clean.jpg,b,clean,potato
fridge,fridge_closed.jpg,b,closed,fridge
hamper,hamper_empty.jpg,a,empty,hamper
suitcase,suitcase_open.jpg,a,open,suitcase
egg,egg_broken.jpg,a,broken,egg
pencil,pencil_broken.jpg,a,broken,pencil
salami,salami_unsliced.jpg,b,unsliced,salami
sugarpacket,sugarpacket_ripped.jpg,a,ripped,sugar packet
garbagecan,garbagecan_empty.jpg,a,empty,garbage can
microwave,microwave_closed.jpg,b,closed,microwave
straw,straw_bent.jpg,a,bent,straw
sleepingbag,sleepingbag_unrolled.jpg,b,unrolled,sleeping bag
garlic,garlic_peeled.jpg,a,peeled,garlic
bucket,bucket_dirty.jpg,a,dirty,bucket
book,book_closed.jpg,b,closed,book
wineglass,wineglass_full.jpg,b,full,wineglass
safetypin,safetypin_straight.jpg,b,straight,safety pin
chain,chain_whole.jpg,b,whole,chain
piggybank,piggybank_whole.jpg,b,whole,piggybank
spoon,spoon_dirty.jpg,a,dirty,spoon
tire,tire_whole.jpg,b,whole,tire
egg,egg_whole.jpg,b,whole,egg
waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
lock,lock_closed.jpg,b,closed,lock
lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
soccerball,soccerball_dirty.jpg,a,dirty,soccerball
envelope,envelope_whole.jpg,b,whole,envelope
garbagecan,garbagecan_full.jpg,b,full,garbage can
carrot,carrot_peeled.jpg,a,peeled,carrot
glasses,glasses_whole.jpg,b,whole,glasses
cabinet,cabinet_open.jpg,a,open,cabinet
couch,couch_clean.jpg,b,clean,couch
naan,naan_ripped.jpg,a,ripped,naan
rug,rug_rolled.jpg,a,rolled,rug
cracker,cracker_broken.jpg,a,broken,cracker
napkin,napkin_folded.jpg,a,folded,napkin
boot,boot_dirty.jpg,a,dirty,boot
watermelon,watermelon_unsliced.jpg,b,unsliced,watermelon
glasses,glasses_broken.jpg,a,broken,glasses
bill,bill_rolled.jpg,a,rolled,bill
cigarette,cigarette_broken.jpg,a,broken,cigarette
spoon,spoon_clean.jpg,b,clean,spoon
road,road_curved.jpg,a,curved,road
bread,bread_sliced.jpg,a,sliced,bread
backpack,backpack_closed.jpg,b,closed,backpack
potato,potato_dirty.jpg,a,dirty,potato
towel,towel_unfolded.jpg,b,unfolded,towel
hamper,hamper_full.jpg,b,full,hamper
gate,gate_closed.jpg,b,closed,gate
lime,lime_unsliced.jpg,b,unsliced,lime
blanket,blanket_unfolded.jpg,b,unfolded,blanket
yogamat,yogamat_rolled.jpg,a,rolled,yoga mat
cracker,cracker_whole.jpg,b,whole,cracker
shoelace,shoelace_untied.jpg,b,untied,shoelace
onion,onion_unpeeled.jpg,b,unpeeled,onion
chestofdrawers,chestofdrawers_closed.jpg,b,closed,chest of drawers
milkcarton,milkcarton_open.jpg,a,open,milk carton
dish,dish_clean.jpg,b,clean,dish
cabinet,cabinet_closed.jpg,b,closed,cabinet
vase,vase_whole.jpg,b,whole,vase
eye,eye_closed.jpg,b,closed,eye
chipbag,chipbag_whole.jpg,b,whole,chip bag
pineapple,pineapple_sliced.jpg,a,sliced,pineapple
paper,paper_folded.jpg,a,folded,paper
microwave,microwave_open.jpg,a,open,microwave
cdplayer,cdplayer_open.jpg,a,open,cd player
wineglass,wineglass_empty.jpg,a,empty,wineglass
gloves,gloves_clean.jpg,b,clean,gloves
road,road_straight.jpg,b,straight,road
table,table_whole.jpg,b,whole,table
car,car_dirty.jpg,a,dirty,car
bread,bread_unsliced.jpg,b,unsliced,bread
shoelace,shoelace_tied.jpg,a,tied,shoelace
lock,lock_open.jpg,a,open,lock
shoe,shoe_dirty.jpg,a,dirty,shoe
eye,eye_open.jpg,a,open,eye
chocolatebar,chocolatebar_whole.jpg,b,whole,chocolate bar
