object,image,state,adj,words_w2v
eggcarton,eggcarton_empty.jpg,a,empty,egg carton
scissors,scissors_open.jpg,a,open,scissors
fridge,fridge_closed.jpg,b,closed,fridge
ladder,ladder_unfolded.jpg,b,unfolded,ladder
salami,salami_sliced.jpg,a,sliced,salami
sleepingbag,sleepingbag_rolled.jpg,a,rolled,sleeping bag
lime,lime_unsliced.jpg,b,unsliced,lime
paperclip,paperclip_straight.jpg,b,straight,paperclip
dish,dish_clean.jpg,b,clean,dish
juicebottle,juicebottle_closed.jpg,b,closed,juice bottle
dish,dish_dirty.jpg,a,dirty,dish
notepad,notepad_whole.jpg,b,whole,notepad
cup,cup_dirty.jpg,a,dirty,cup
couch,couch_dirty.jpg,a,dirty,couch
tire,tire_whole.jpg,b,whole,tire
suitcase,suitcase_closed.jpg,b,closed,suitcase
pizza,pizza_sliced.jpg,a,sliced,pizza
suitcase,suitcase_open.jpg,a,open,suitcase
napkin,napkin_unfolded.jpg,b,unfolded,napkin
potato,potato_dirty.jpg,a,dirty,potato
lawnchair,lawnchair_unfolded.jpg,b,unfolded,lawnchair
sugarpacket,sugarpacket_ripped.jpg,a,ripped,sugar packet
hamper,hamper_full.jpg,b,full,hamper
eggcarton,eggcarton_full.jpg,b,full,egg carton
shoelace,shoelace_tied.jpg,a,tied,shoelace
fridge,fridge_open.jpg,a,open,fridge
lock,lock_open.jpg,a,open,lock
spoon,spoon_clean.jpg,b,clean,spoon
seatbelt,seatbelt_open.jpg,a,open,seatbelt
eye,eye_open.jpg,a,open,eye
wallet,wallet_open.jpg,a,open,wallet
banana,banana_unpeeled.jpg,b,unpeeled,banana
bucket,bucket_dirty.jpg,a,dirty,bucket
treasurechest,treasurechest_closed.jpg,b,closed,treasure chest
apple,apple_unsliced.jpg,b,unsliced,apple
notepad,notepad_ripped.jpg,a,ripped,notepad
bucket,bucket_clean.jpg,b,clean,bucket
cracker,cracker_whole.jpg,b,whole,cracker
cigarette,cigarette_broken.jpg,a,broken,cigarette
boot,boot_clean.jpg,b,clean,boot
car,car_clean.jpg,b,clean,car
bread,bread_sliced.jpg,a,sliced,bread
waterbottle,waterbottle_open.jpg,a,open,waterbottle
envelope,envelope_ripped.jpg,a,ripped,envelope
apple,apple_sliced.jpg,a,sliced,apple
chestofdrawers,chestofdrawers_open.jpg,a,open,chest of drawers
plate,plate_whole.jpg,b,whole,plate
carrot,carrot_unpeeled.jpg,b,unpeeled,carrot
chipbag,chipbag_ripped.jpg,a,ripped,chip bag
dishwasher,dishwasher_closed.jpg,b,closed,dishwasher
cookie,cookie_whole.jpg,b,whole,cookie
piggybank,piggybank_whole.jpg,b,whole,piggybank
sugarpacket,sugarpacket_whole.jpg,b,whole,sugar packet
dishwasher,dishwasher_open.jpg,a,open,dishwasher
safetypin,safetypin_bent.jpg,a,bent,safety pin
napkin,napkin_folded.jpg,a,folded,napkin
orange,orange_unpeeled.jpg,b,unpeeled,orange
magnet,magnet_straight.jpg,b,straight,magnet
waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
pineapple,pineapple_sliced.jpg,a,sliced,pineapple
staircase,staircase_curved.jpg,a,curved,staircase
chocolatebar,chocolatebar_whole.jpg,b,whole,chocolate bar
can,can_closed.jpg,b,closed,can
safetypin,safetypin_straight.jpg,b,straight,safety pin
rug,rug_unrolled.jpg,b,unrolled,rug
milkcarton,milkcarton_open.jpg,a,open,milk carton
cdplayer,cdplayer_open.jpg,a,open,cd player
paperclip,paperclip_bent.jpg,a,bent,paperclip
onion,onion_unpeeled.jpg,b,unpeeled,onion
can,can_open.jpg,a,open,can
pig,pig_dirty.jpg,a,dirty,pig
lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
egg,egg_whole.jpg,b,whole,egg
stapler,stapler_closed.jpg,b,closed,stapler
chipbag,chipbag_whole.jpg,b,whole,chip bag
hamper,hamper_empty.jpg,a,empty,hamper
pizza,pizza_unsliced.jpg,b,unsliced,pizza
cabinet,cabinet_open.jpg,a,open,cabinet
rug,rug_rolled.jpg,a,rolled,rug
book,book_closed.jpg,b,closed,book
juicebottle,juicebottle_open.jpg,a,open,juice bottle
waterpipe,waterpipe_bent.jpg,a,bent,waterpipe
kiwi,kiwi_unsliced.jpg,b,unsliced,kiwi
egg,egg_broken.jpg,a,broken,egg
cabinet,cabinet_closed.jpg,b,closed,cabinet
shoppingcart,shoppingcart_full.jpg,b,full,shopping cart
microwave,microwave_closed.jpg,b,closed,microwave
gloves,gloves_clean.jpg,b,clean,gloves
marker,marker_closed.jpg,b,closed,marker
chain,chain_whole.jpg,b,whole,chain
glasses,glasses_broken.jpg,a,broken,glasses
couch,couch_clean.jpg,b,clean,couch
straw,straw_straight.jpg,b,straight,straw
mirror,mirror_whole.jpg,b,whole,mirror
stovetop,stovetop_clean.jpg,b,clean,stovetop
chapstick,chapstick_open.jpg,a,open,chapstick
paper,paper_folded.jpg,a,folded,paper
wallet,wallet_closed.jpg,b,closed,wallet
garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
chestofdrawers,chestofdrawers_closed.jpg,b,closed,chest of drawers
paper,paper_unfolded.jpg,b,unfolded,paper
spoon,spoon_dirty.jpg,a,dirty,spoon
marker,marker_open.jpg,a,open,marker
towel,towel_folded.jpg,a,folded,towel
orange,orange_peeled.jpg,a,peeled,orange
laptop,laptop_closed.jpg,b,closed,laptop
kiwi,kiwi_sliced.jpg,a,sliced,kiwi
soccerball,soccerball_clean.jpg,b,clean,soccerball
chain,chain_broken.jpg,a,broken,chain
waterpipe,waterpipe_straight.jpg,b,straight,waterpipe
wineglass,wineglass_empty.jpg,a,empty,wineglass
nail,nail_bent.jpg,a,bent,nail
chocolatebar,chocolatebar_broken.jpg,a,broken,chocolate bar
filefolder,filefolder_open.jpg,a,open,file folder
magnet,magnet_bent.jpg,a,bent,magnet
scissors,scissors_closed.jpg,b,closed,scissors
lock,lock_closed.jpg,b,closed,lock
table,table_broken.jpg,a,broken,table
garlic,garlic_peeled.jpg,a,peeled,garlic
bill,bill_rolled.jpg,a,rolled,bill
eye,eye_closed.jpg,b,closed,eye
tire,tire_broken.jpg,a,broken,tire
