object,image,state,adj,words_w2v
cup,cup_clean.jpg,b,clean,cup
backpack,backpack_open.jpg,a,open,backpack
pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
gate,gate_open.jpg,a,open,gate
bucket,bucket_dirty.jpg,a,dirty,bucket
paperclip,paperclip_straight.jpg,b,straight,paperclip
sleepingbag,sleepingbag_rolled.jpg,a,rolled,sleeping bag
eye,eye_closed.jpg,b,closed,eye
pineapple,pineapple_sliced.jpg,a,sliced,pineapple
sleepingbag,sleepingbag_unrolled.jpg,b,unrolled,sleeping bag
cracker,cracker_whole.jpg,b,whole,cracker
garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
wallet,wallet_open.jpg,a,open,wallet
pot,pot_open.jpg,a,open,pot
waterbottle,waterbottle_open.jpg,a,open,waterbottle
seatbelt,seatbelt_open.jpg,a,open,seatbelt
notepad,notepad_ripped.jpg,a,ripped,notepad
garlic,garlic_peeled.jpg,a,peeled,garlic
book,book_closed.jpg,b,closed,book
chipbag,chipbag_ripped.jpg,a,ripped,chip bag
straw,straw_bent.jpg,a,bent,straw
chain,chain_broken.jpg,a,broken,chain
blanket,blanket_unfolded.jpg,b,unfolded,blanket
spoon,spoon_dirty.jpg,a,dirty,spoon
yogamat,yogamat_unrolled.jpg,b,unrolled,yoga mat
carrot,carrot_peeled.jpg,a,peeled,carrot
dishwasher,dishwasher_open.jpg,a,open,dishwasher
safetypin,safetypin_bent.jpg,a,bent,safety pin
jar,jar_empty.jpg,a,empty,jar
hands,hands_dirty.jpg,a,dirty,hands
eggcarton,eggcarton_empty.jpg,a,empty,egg carton
cdplayer,cdplayer_open.jpg,a,open,cd player
magnet,magnet_bent.jpg,a,bent,magnet
stovetop,stovetop_dirty.jpg,a,dirty,stovetop
lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
bread,bread_unsliced.jpg,b,unsliced,bread
pencil,pencil_broken.jpg,a,broken,pencil
fence,fence_whole.jpg,b,whole,fence
chocolatebar,chocolatebar_broken.jpg,a,broken,chocolate bar
soccerball,soccerball_dirty.jpg,a,dirty,soccerball
juicebottle,juicebottle_closed.jpg,b,closed,juice bottle
safetypin,safetypin_straight.jpg,b,straight,safety pin
rug,rug_unrolled.jpg,b,unrolled,rug
laptop,laptop_closed.jpg,b,closed,laptop
plate,plate_whole.jpg,b,whole,plate
notepad,notepad_whole.jpg,b,whole,notepad
stovetop,stovetop_clean.jpg,b,clean,stovetop
shoelace,shoelace_tied.jpg,a,tied,shoelace
fridge,fridge_open.jpg,a,open,fridge
waterpipe,waterpipe_bent.jpg,a,bent,waterpipe
juicebottle,juicebottle_open.jpg,a,open,juice bottle
pig,pig_dirty.jpg,a,dirty,pig
sweater,sweater_folded.jpg,a,folded,sweater
apple,apple_unsliced.jpg,b,unsliced,apple
towel,towel_unfolded.jpg,b,unfolded,towel
potato,potato_clean.jpg,b,clean,potato
chipbag,chipbag_whole.jpg,b,whole,chip bag
couch,couch_dirty.jpg,a,dirty,couch
milkcarton,milkcarton_open.jpg,a,open,milk carton
yogamat,yogamat_rolled.jpg,a,rolled,yoga mat
garbagecan,garbagecan_empty.jpg,a,empty,garbage can
orange,orange_unpeeled.jpg,b,unpeeled,orange
napkin,napkin_folded.jpg,a,folded,napkin
carrot,carrot_unpeeled.jpg,b,unpeeled,carrot
pizza,pizza_sliced.jpg,a,sliced,pizza
ladder,ladder_unfolded.jpg,b,unfolded,ladder
sugarpacket,sugarpacket_whole.jpg,b,whole,sugar packet
shoelace,shoelace_untied.jpg,b,untied,shoelace
mirror,mirror_broken.jpg,a,broken,mirror
table,table_whole.jpg,b,whole,table
shoe,shoe_dirty.jpg,a,dirty,shoe
milkcarton,milkcarton_closed.jpg,b,closed,milk carton
chestofdrawers,chestofdrawers_open.jpg,a,open,chest of drawers
chapstick,chapstick_open.jpg,a,open,chapstick
egg,egg_whole.jpg,b,whole,egg
mirror,mirror_whole.jpg,b,whole,mirror
piggybank,piggybank_broken.jpg,a,broken,piggybank
cdplayer,cdplayer_closed.jpg,b,closed,cd player
wineglass,wineglass_full.jpg,b,full,wineglass
salami,salami_sliced.jpg,a,sliced,salami
cup,cup_dirty.jpg,a,dirty,cup
gloves,gloves_clean.jpg,b,clean,gloves
garbagecan,garbagecan_full.jpg,b,full,garbage can
door,door_closed.jpg,b,closed,door
magnet,magnet_straight.jpg,b,straight,magnet
dish,dish_clean.jpg,b,clean,dish
cabinet,cabinet_closed.jpg,b,closed,cabinet
laptop,laptop_open.jpg,a,open,laptop
onion,onion_unpeeled.jpg,b,unpeeled,onion
lawnchair,lawnchair_unfolded.jpg,b,unfolded,lawnchair
waterpipe,waterpipe_straight.jpg,b,straight,waterpipe
apple,apple_sliced.jpg,a,sliced,apple
gloves,gloves_dirty.jpg,a,dirty,gloves
wineglass,wineglass_empty.jpg,a,empty,wineglass
bill,bill_rolled.jpg,a,rolled,bill
table,table_broken.jpg,a,broken,table
straw,straw_straight.jpg,b,straight,straw
stapler,stapler_closed.jpg,b,closed,stapler
pot,pot_closed.jpg,b,closed,pot
glasses,glasses_whole.jpg,b,whole,glasses
hands,hands_clean.jpg,b,clean,hands
onion,onion_peeled.jpg,a,peeled,onion
bill,bill_unrolled.jpg,b,unrolled,bill
vase,vase_whole.jpg,b,whole,vase
tire,tire_broken.jpg,a,broken,tire
soccerball,soccerball_clean.jpg,b,clean,soccerball
pickle,pickle_unsliced.jpg,b,unsliced,pickle
hamper,hamper_empty.jpg,a,empty,hamper
towel,towel_folded.jpg,a,folded,towel
naan,naan_ripped.jpg,a,ripped,naan
sugarpacket,sugarpacket_ripped.jpg,a,ripped,sugar packet
wallet,wallet_closed.jpg,b,closed,wallet
egg,egg_broken.jpg,a,broken,egg
scissors,scissors_open.jpg,a,open,scissors
kiwi,kiwi_unsliced.jpg,b,unsliced,kiwi
shoppingcart,shoppingcart_empty.jpg,a,empty,shopping cart
scissors,scissors_closed.jpg,b,closed,scissors
filefolder,filefolder_closed.jpg,b,closed,file folder
lime,lime_sliced.jpg,a,sliced,lime
couch,couch_clean.jpg,b,clean,couch
naan,naan_whole.jpg,b,whole,naan
envelope,envelope_whole.jpg,b,whole,envelope
pig,pig_clean.jpg,b,clean,pig
suitcase,suitcase_closed.jpg,b,closed,suitcase
boot,boot_clean.jpg,b,clean,boot
cigarette,cigarette_broken.jpg,a,broken,cigarette
cookie,cookie_broken.jpg,a,broken,cookie
car,car_dirty.jpg,a,dirty,car
vase,vase_broken.jpg,a,broken,vase
banana,banana_unpeeled.jpg,b,unpeeled,banana
staircase,staircase_curved.jpg,a,curved,staircase
jar,jar_full.jpg,b,full,jar
hamper,hamper_full.jpg,b,full,hamper
