object,image,state,adj,words_w2v
gate,gate_open.jpg,a,open,gate
lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
chipbag,chipbag_ripped.jpg,a,ripped,chip bag
can,can_open.jpg,a,open,can
mirror,mirror_whole.jpg,b,whole,mirror
table,table_broken.jpg,a,broken,table
onion,onion_peeled.jpg,a,peeled,onion
staircase,staircase_curved.jpg,a,curved,staircase
cabinet,cabinet_closed.jpg,b,closed,cabinet
napkin,napkin_folded.jpg,a,folded,napkin
suitcase,suitcase_open.jpg,a,open,suitcase
ladder,ladder_folded.jpg,a,folded,ladder
garbagecan,garbagecan_full.jpg,b,full,garbage can
banana,banana_peeled.jpg,a,peeled,banana
plate,plate_broken.jpg,a,broken,plate
couch,couch_dirty.jpg,a,dirty,couch
soccerball,soccerball_clean.jpg,b,clean,soccerball
gloves,gloves_clean.jpg,b,clean,gloves
piggybank,piggybank_broken.jpg,a,broken,piggybank
salami,salami_sliced.jpg,a,sliced,salami
dishwasher,dishwasher_closed.jpg,b,closed,dishwasher
bill,bill_unrolled.jpg,b,unrolled,bill
chain,chain_whole.jpg,b,whole,chain
boot,boot_dirty.jpg,a,dirty,boot
napkin,napkin_unfolded.jpg,b,unfolded,napkin
tire,tire_whole.jpg,b,whole,tire
door,door_open.jpg,a,open,door
paperclip,paperclip_straight.jpg,b,straight,paperclip
cookie,cookie_broken.jpg,a,broken,cookie
chestofdrawers,chestofdrawers_closed.jpg,b,closed,chest of drawers
book,book_closed.jpg,b,closed,book
chocolatebar,chocolatebar_broken.jpg,a,broken,chocolate bar
ladder,ladder_unfolded.jpg,b,unfolded,ladder
kiwi,kiwi_sliced.jpg,a,sliced,kiwi
shoppingcart,shoppingcart_full.jpg,b,full,shopping cart
vase,vase_whole.jpg,b,whole,vase
marker,marker_closed.jpg,b,closed,marker
jar,jar_full.jpg,b,full,jar
cdplayer,cdplayer_open.jpg,a,open,cd player
hamper,hamper_full.jpg,b,full,hamper
fridge,fridge_open.jpg,a,open,fridge
