object,image,state,adj,words_w2v
pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
laptop,laptop_closed.jpg,b,closed,laptop
cookie,cookie_broken.jpg,a,broken,cookie
scissors,scissors_closed.jpg,b,closed,scissors
mirror,mirror_whole.jpg,b,whole,mirror
notepad,notepad_ripped.jpg,a,ripped,notepad
garbagecan,garbagecan_empty.jpg,a,empty,garbage can
blanket,blanket_folded.jpg,a,folded,blanket
cup,cup_dirty.jpg,a,dirty,cup
book,book_open.jpg,a,open,book
plate,plate_broken.jpg,a,broken,plate
filefolder,filefolder_closed.jpg,b,closed,file folder
spoon,spoon_dirty.jpg,a,dirty,spoon
potato,potato_clean.jpg,b,clean,potato
safetypin,safetypin_bent.jpg,a,bent,safety pin
bill,bill_rolled.jpg,a,rolled,bill
salami,salami_sliced.jpg,a,sliced,salami
envelope,envelope_ripped.jpg,a,ripped,envelope
tire,tire_broken.jpg,a,broken,tire
lawnchair,lawnchair_unfolded.jpg,b,unfolded,lawnchair
soccerball,soccerball_dirty.jpg,a,dirty,soccerball
milkcarton,milkcarton_closed.jpg,b,closed,milk carton
staircase,staircase_curved.jpg,a,curved,staircase
napkin,napkin_unfolded.jpg,b,unfolded,napkin
seatbelt,seatbelt_closed.jpg,b,closed,seatbelt
garlic,garlic_peeled.jpg,a,peeled,garlic
road,road_curved.jpg,a,curved,road
blanket,blanket_unfolded.jpg,b,unfolded,blanket
glasses,glasses_broken.jpg,a,broken,glasses
bread,bread_unsliced.jpg,b,unsliced,bread
car,car_clean.jpg,b,clean,car
eggcarton,eggcarton_empty.jpg,a,empty,egg carton
magnet,magnet_straight.jpg,b,straight,magnet
straw,straw_straight.jpg,b,straight,straw
orange,orange_unpeeled.jpg,b,unpeeled,orange
salami,salami_unsliced.jpg,b,unsliced,salami
door,door_closed.jpg,b,closed,door
microwave,microwave_closed.jpg,b,closed,microwave
sweater,sweater_folded.jpg,a,folded,sweater
chapstick,chapstick_closed.jpg,b,closed,chapstick
pot,pot_closed.jpg,b,closed,pot
wallet,wallet_closed.jpg,b,closed,wallet
book,book_closed.jpg,b,closed,book
vase,vase_whole.jpg,b,whole,vase
backpack,backpack_open.jpg,a,open,backpack
chain,chain_whole.jpg,b,whole,chain
lock,lock_open.jpg,a,open,lock
waterpipe,waterpipe_bent.jpg,a,bent,waterpipe
table,table_whole.jpg,b,whole,table
cookie,cookie_whole.jpg,b,whole,cookie
boot,boot_dirty.jpg,a,dirty,boot
hamper,hamper_empty.jpg,a,empty,hamper
gate,gate_open.jpg,a,open,gate
shoelace,shoelace_tied.jpg,a,tied,shoelace
banana,banana_unpeeled.jpg,b,unpeeled,banana
cabinet,cabinet_open.jpg,a,open,cabinet
juicebottle,juicebottle_closed.jpg,b,closed,juice bottle
hands,hands_clean.jpg,b,clean,hands
tire,tire_whole.jpg,b,whole,tire
nail,nail_straight.jpg,b,straight,nail
road,road_straight.jpg,b,straight,road
chipbag,chipbag_ripped.jpg,a,ripped,chip bag
paperclip,paperclip_straight.jpg,b,straight,paperclip
staircase,staircase_straight.jpg,b,straight,staircase
